id,title,release_date,genres,poster_path,backdrop_path,vote_average,runtime,overview,tagline,original_language
1370814,The Plague,2025-12-24,"[{'name': 'Drama'}, {'name': 'Thriller'}]",/b0RWuqzgvyfiIYU4QfgJHhmxZF4.jpg,/kHyN3PejjlYWYz1Eah3jS64oV0g.jpg,6.4,95,"Niespokojny 12-latek porusza się w brutalnym porządku społecznym na obozie letnim dla chłopców piłki wodnej. Zostaje wciągnięty w okrutną tradycję, której celem jest wyrzutek z chorobą, którą nazywają „Dżumą”, ale gdy granice między grą a rzeczywistością zacierają się, obawia się, że żart może ukrywać coś prawdziwego.",,en
10948,The Fox and the Hound,1981-07-10,"[{'name': 'Adventure'}, {'name': 'Animation'}, {'name': 'Drama'}, {'name': 'Family'}]",/9FywisQGcMwMHPsEaoCeZtPjj8a.jpg,/lNmIAX1IuPIEPMHhLBEm4wmhYX0.jpg,7.2,82,"Gdy zadziorny lisek imieniem Tod zostaje adoptowany przez rodzinę mieszkającą na farmie, szybko zaprzyjaźnia się z zabawnym i uroczym szczeniaczkiem z sąsiedztwa, Copperem. Razem przeżywają mnóstwo niesamowitych przygód i wkrótce stają się nierozłączni. Ich przyjaźń zostaje jednak wystawiona na ciężką próbę, gdy nadchodzi dzień, w którym Copper powinien przyjąć na siebie obowiązki psa myśliwskiego... i wytropić swojego najlepszego kumpla!",,en
666277,Past Lives,2023-06-02,"[{'name': 'Drama'}, {'name': 'Romance'}]",/gmTocN1iLLDyjEJir2CBnt2EhGE.jpg,/7HR38hMBl23lf38MAN63y4pKsHz.jpg,7.7,106,Przyjaciele z dzieciństwa po 20 latach spędzają wspólnie jeden tydzień.,,en
2758,Addams Family Values,1993-11-19,"[{'name': 'Comedy'}, {'name': 'Family'}, {'name': 'Fantasy'}]",/9SRAMrg4nIGjbFqeOJ0lYodsvHe.jpg,/sZhTfYouKM1iV3rVbgIVEQFQogA.jpg,7.0,94,"Miłość wisi w powietrzu. Kiedy atmosfera miłości otoczy rodzinę Addamsów, życie biegnie zadziwiająco niezwykłymi drogami. Morticia i Gomez: są porywczy, oddani, szaleni i wstrząśnięci narodzinami nowego potomka Puberta, promieniującego na prawo i lewo słodkimi uśmiechami, rodzinną bladością i pokazującego milutkie malutkie wąsiki. Miłość zainfekowała także wujka Festera, najbardziej niewinnego człowieka, jaki kiedykolwiek istniał. Zapałał on namiętnością do nowej niani Debbie Jelinsky, która miała wiele planów związanych z przyszłością Festera, lecz żaden z nich nie zakładał jego długowieczności. Nawet młoda Wednesday poddając się uniesieniu ogarniającemu całą rodzinę Addamsów, odnajduje pokrewną sobie duszę w najmniej spodziewanym miejscu - na letnim obozie. Świat rodziny Addamsów jest jedyny - trzeba go poznać!",,en
756397,Hitpig!,2024-11-01,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Adventure'}, {'name': 'Family'}]",/UU8HntYmTNx2L7FueTTlJZckKm.jpg,/leobhCk6L86BEBnx1t6URQcIdQW.jpg,6.6,85,"Łowca nagród świni przyjmuje swój kolejny cel: Picklesa, naiwnego, pełnego życia słonia. Chociaż początkowo postanawia schwytać wesołego gruboskórego, ta nieprawdopodobna para krzyżuje się na całym świecie w przygodzie, która wydobywa z nich to, co najlepsze.","Gdy zwierz ci zaginie, lepiej wezwij świnię!",en
2756,The Abyss,1989-08-09,"[{'name': 'Adventure'}, {'name': 'Thriller'}, {'name': 'Science Fiction'}]",/m6j5khshyRl1nL2M1YtmZXBJMoL.jpg,/mW6XzxelLY8T2oW2NjciG9LpZT5.jpg,7.4,140,"Amerykańska łódź podwodna zostaje zaatakowana i uszkodzona opada na dno oceanu. Wojsko organizuje akcję ratunkową, ale okazuje się, że armia nie jest w posiadaniu odpowiedniego sprzętu umożliwiającego prace na dużych głębokościach. Do akcji zostają zaangażowani więc cywile, pracownicy stacji badawczej. W trakcie swojej pracy nawiązują oni kontakt z Obcymi...",,en
395992,Life,2017-03-22,"[{'name': 'Horror'}, {'name': 'Science Fiction'}, {'name': 'Mystery'}]",/qpDah81ku6TENGgIt86JUTF9KJD.jpg,/nNh7vHHISVAaziJEqAq0P9iL52w.jpg,6.5,104,"Historia sześcioosobowej grupy astronautów przebywających na Międzynarodowej Stacji Komicznej. Udaje im się dokonać przełomowego w dziejach świata odkrycia: udowodniają, że na Marsie – bez żadnych wątpliwości – jest życie. Mają na to dowód. Ale poszukiwania życia doprowadzają do poważnych konsekwencji, ponieważ „żywy dowód” jest bardziej inteligentny niż ktokolwiek przypuszczał...","Świat był bezpieczny, gdy byliśmy sami.",en
76493,The Dictator,2012-05-15,[{'name': 'Comedy'}],/wHjU84xQO2uVDB56nnJro5pwx32.jpg,/jWq20KNbg5txb28tLxJl0yLYuxp.jpg,6.2,83,"Film opowiada heroiczną historię dyktatora, który ryzykuje życiem, aby demokracja nigdy nie zagościła w kraju, który z taką miłością gnębi. Scenariusz został zainspirowany bestsellerem „Zabibah and The King” autorstwa Saddama Husseina. Jak mówi Cohen, jest to „niezwykła historia dyktatora, który heroicznie ryzykował własne życie po to, by demokracja nigdy nie zawitała do kraju, który z taką miłością terroryzował”.",,en
76492,Hotel Transylvania,2012-09-20,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Family'}, {'name': 'Fantasy'}]",/eJGvzGrsfe2sqTUPv5IwLWXjVuR.jpg,/5rARlA8beRAVXPYzSaF2NoS8Ry5.jpg,7.0,91,"W Hotelu Transylvania potwory mogą odpocząć z daleka od ciekawskich ludzkich oczu. Gospodarzami hotelu są Hrabia Dracula oraz jego 118-letnia córka Mavis, zachowująca się dokładnie tak, jak inne nastolatki. Kiedy Mavis łamie świętą zasadę potworów polegającą na unikaniu kontaktów z ludźmi, wprowadza tym samym w ruch łańcuch wydarzeń, które zagrażają hotelowi Transylwania i egzystencji potworów.",,en
2770,American Pie 2,2001-08-10,"[{'name': 'Comedy'}, {'name': 'Romance'}]",/ef6Ft0ty513AVeTO31IWwsMDo2g.jpg,/as3gvp4DIXVRlXsj5x7OWPQI5lI.jpg,6.3,108,"Kolejna część zabawnych perypetii bohaterów ""American Pie"" z udziałem wszystkich znanych z pierwszej części aktorów. Tym razem stojąca na progu dojrzałości grupa młodych przyjaciół dzielnie stara się stawić czoła swojej dorosłej niezależności. Po pomyślnym zakończeniu pierwszego roku college'u i pierwszym praktycznie roku ""rozłąki"" młodzi mężczyźni (Kevin, Jim, Oz, Finch i Stifler) postanawiają wspólnie spędzić wakacje mające umocnić ich licealną przyjaźń i dostarczyć jednocześnie niezapomnianych letnich wrażeń. To czy plan się powiedzie, a marzenia nabiorą realnego wymiaru uzależnione jest jak zwykle od udziału pań - Vicky, Michelle, Heather i Jessiki. Na dodatek Nadia postanawia odwiedzić Jima, który nadal nie jest w stanie stanąć na wysokości zadania...  [opis dystrybutora dvd]",,en
10950,I Am Sam,2001-12-28,[{'name': 'Drama'}],/jyDMiNjXvE28h34JWludogQwd8K.jpg,/mOsg2l9zq315ouw55rbNATSwgU1.jpg,7.6,132,"Sam Dawson (Sean Penn) ma umysł siedmioletniego dziecka, uwielbia The Beatles i wraz z pomocą kilkorga przyjaciół wychowuje swoją córeczkę Lucy Diamond (Dakota Fanning). Kiedy Lucy kończy siedem lat i powoli zaczyna przewyższać intelektem swojego ojca, jej losem zaczyna interesować się opieka społeczna. Jeden z jej pracowników postanawia pozbawić Sama prawa do opieki nad córką.",,en
10972,Session 9,2001-08-10,"[{'name': 'Horror'}, {'name': 'Mystery'}, {'name': 'Drama'}]",/A3Au37c3KJX29BDvldzGiYtaU5B.jpg,/q00YpCIaO4ke4qstYnds9PtAz3t.jpg,6.1,100,"Firma zajmująca się usuwaniem azbestu, konkuruje o kontrakt na oczyszczanie starego budynku, w którym niegdyś mieścił się szpital psychiatryczny. Zlecenie zostało zdobyte, jednak zapowiada się, że nie będzie łatwo, termin realizacji to dwa tygodnie, tymczasem ekipa remontowa jest świadkiem dziwnych odkryć...",,en
395991,Only the Brave,2017-09-22,"[{'name': 'Drama'}, {'name': 'History'}]",/hKfS7g0VZebyuze5UDrlS1SODY9.jpg,/zaX6d5GCtb2CmOH9jrHBl58xxBY.jpg,7.5,133,"Oparta na tragicznych prawdziwych wydarzeniach opowieść o grupie specjalnie wyszkolonych strażaków, którzy w czerwcu 2013 roku stawili czoła szalejącemu żywiołowi, pochłaniającemu błyskawicznie lasy w pobliżu Yarnell w stanie Arizona. Ciągnąca się przez kilka dni walka z rozprzestrzeniającym się na dziesiątki nieprzewidywalnych sposobów ogniem ukazuje ludzi, którzy narażają swoje życie dla dobra ogółu, lecz nie czują się bohaterami. Mają swoje plany i marzenia, jedni myślą o założeniu rodziny, inni próbują wyjść wreszcie na prostą po latach spędzonych na walce z nałogiem. Wykonują po prostu swoją pracę, a po jej zakończeniu chcą wrócić do swych domów i zapomnieć, że znowu byli blisko śmierci.","Nieważne co przed tobą, ważne kto stoi obok ciebie",en
395990,Death Wish,2018-03-01,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Thriller'}, {'name': 'Drama'}]",/yYdM0LMYwm1wQW13dRMNw4JZ7MP.jpg,/uQqQvmptJLPTcWDrZXn22p7j7s3.jpg,6.2,108,"Paul Kersey (Bruce Willis) jest chirurgiem, który co dzień ratuje ludzkie życie. Gdy nieznani sprawcy dokonują brutalnego napadu na jego rodzinę, po raz pierwszy sam musi zwrócić się o pomoc. Policja pozostaje jednak głucha na jego apele. Zdesperowany mężczyzna postanawia więc własnoręcznie wymierzyć sprawiedliwość. Gdy uwagę mediów przyciągają zabójstwa kolejnych gangsterów, wszyscy zadają sobie jedno pytanie: giną oni z ręki bohatera czy bandyty? Wiedziony pragnieniem zemsty Kersey dostrzega, że może pomóc także innym. Nie każdemu podoba się jednak to, że mężczyzna staje ponad prawem, policja zaś jest coraz bliżej odkrycia tożsamości mściciela.",Przyszli po jego rodzinę. Teraz on idzie po nich.,en
330457,Frozen II,2019-11-20,"[{'name': 'Family'}, {'name': 'Animation'}, {'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Fantasy'}]",/jVGafxdBZldAJfmgZujoDfBpVxd.jpg,/AoSZyb37ljMAxw0RdeQEBHKtgcc.jpg,7.2,103,"Dlaczego Elsa urodziła się obdarzona magiczną mocą? Odpowiedź na to pytanie nie daje jej spokoju i… zagraża całemu królestwu! Dlatego razem z Anną, Kristoffem, Olafem i Svenem wyruszają w niebezpieczną i niezwykłą podróż. Czy ta wyprawa odmieni życie bohaterów? Czego się podczas niej dowiedzą? Jakie przygody przeżyją? W oscarowej Krainie lodu Elsa bała się, że jej moc jest zbyt potężna i może doprowadzić do katastrofy. W drugiej części musi mieć nadzieję, że ta moc będzie wystarczająca, aby przezwyciężyć problemy, które napotka. Czy tak się stanie?",Odkryj moc. Pokonaj strach.,en
